SEASON,DATE,PLAYER FULLNAME,POSITION,OWNTEAM,OPPTEAM,VENUE,MIN,FG,FGA,3P,3PA,FT,FTA,OR,DR,TOT,A,PF,ST,TO,BL,PTS
2017-2018 Regular Season,10/17/2017,Gordon Hayward,SF,Boston,Cleveland,R,5.3,1,2,0,1,0,0,0,1,1,0,1,0,0,0,2
2017-2018 Regular Season,10/17/2017,Jayson Tatum,SF,Boston,Cleveland,R,36.5,5,12,1,2,3,3,4,6,10,3,4,0,1,0,14
2017-2018 Regular Season,10/17/2017,Al Horford,C,Boston,Cleveland,R,32.1,2,7,0,2,5,7,0,7,7,5,2,0,0,1,9
2017-2018 Regular Season,10/17/2017,Jaylen Brown,SF,Boston,Cleveland,R,39.6,11,23,2,9,1,2,1,5,6,0,5,2,3,0,25
2017-2018 Regular Season,10/17/2017,Kyrie Irving,PG,Boston,Cleveland,R,39.4,8,17,4,9,2,2,2,2,4,10,4,3,2,0,22
2017-2018 Regular Season,10/17/2017,Marcus Smart,PG,Boston,Cleveland,R,35.1,5,16,0,4,2,3,0,9,9,3,2,2,2,2,12
2017-2018 Regular Season,10/17/2017,Aron Baynes,C,Boston,Cleveland,R,19.1,2,2,0,0,2,4,2,3,5,1,5,0,2,1,6
2017-2018 Regular Season,10/17/2017,Semi Ojeleye,PF,Boston,Cleveland,R,8.7,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0
2017-2018 Regular Season,10/17/2017,Terry Rozier,PG,Boston,Cleveland,R,19.5,2,6,1,3,4,4,0,3,3,2,0,4,0,0,9
2017-2018 Regular Season,10/17/2017,Shane Larkin,PG,Boston,Cleveland,R,4.8,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0
2017-2018 Regular Season,10/17/2017,LeBron James,SF,Cleveland,Boston,H,41.2,12,19,1,5,4,4,1,15,16,9,3,0,4,2,29
2017-2018 Regular Season,10/17/2017,Jae Crowder,SF,Cleveland,Boston,H,34.7,3,10,1,5,4,4,1,4,5,2,2,2,1,0,11
2017-2018 Regular Season,10/17/2017,Kevin Love,PF,Cleveland,Boston,H,28.4,4,9,1,4,6,7,3,8,11,0,2,0,2,0,15
2017-2018 Regular Season,10/17/2017,Dwyane Wade,SG,Cleveland,Boston,H,28.5,3,10,0,1,2,2,1,1,2,3,1,0,4,2,8
2017-2018 Regular Season,10/17/2017,Derrick Rose,PG,Cleveland,Boston,H,31.3,5,14,1,3,3,4,1,3,4,2,2,0,2,0,14
2017-2018 Regular Season,10/17/2017,Tristan Thompson,C,Cleveland,Boston,H,19.6,2,3,0,0,1,3,1,5,6,2,3,0,2,0,5
2017-2018 Regular Season,10/17/2017,JR Smith,SG,Cleveland,Boston,H,21.9,4,7,1,3,1,1,0,4,4,1,4,0,0,0,10
2017-2018 Regular Season,10/17/2017,Iman Shumpert,SG,Cleveland,Boston,H,12.9,2,3,0,0,0,0,1,1,2,0,3,1,1,0,4
2017-2018 Regular Season,10/17/2017,Jeff Green,SF,Cleveland,Boston,H,14.2,3,8,0,1,0,0,0,0,0,0,3,0,1,0,6
2017-2018 Regular Season,10/17/2017,Kyle Korver,SG,Cleveland,Boston,H,7.3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
2017-2018 Regular Season,10/17/2017,Trevor Ariza,SF,Houston,Golden State,R,37.7,3,9,2,5,0,0,1,5,6,5,2,2,1,0,8
2017-2018 Regular Season,10/17/2017,Ryan Anderson,PF,Houston,Golden State,R,33.3,5,12,3,8,0,0,3,5,8,1,3,1,0,1,13
2017-2018 Regular Season,10/17/2017,Clint Capela,C,Houston,Golden State,R,18.2,6,10,0,0,0,1,1,3,4,0,0,1,2,1,12
2017-2018 Regular Season,10/17/2017,James Harden,PG,Houston,Golden State,R,36.4,10,23,4,9,3,4,1,5,6,10,2,1,3,0,27
2017-2018 Regular Season,10/17/2017,Chris Paul,PG,Houston,Golden State,R,33.1,2,9,0,4,0,0,1,7,8,11,4,2,1,1,4
